Model,Metric,Pair,Statistic,P-Value,Avg Delta
Alpaca,AES_Score,SAE-ESL,0.3223938223938224,0.025,0.3223938223938224
Alpaca,AES_Score,SAE-AAE,-0.7915057915057915,0.0,-0.7915057915057915
Alpaca,AES_Score,ESL-AAE,-1.113899613899614,0.0,-1.113899613899614
GPT-4,AES_Score,SAE-ESL,0.07335907335907337,0.056,0.07335907335907337
GPT-4,AES_Score,SAE-AAE,-0.2471042471042471,0.0,-0.2471042471042471
GPT-4,AES_Score,ESL-AAE,-0.3204633204633205,0.0,-0.3204633204633205
Llama7B,AES_Score,SAE-ESL,0.08108108108108109,0.186,0.08108108108108109
Llama7B,AES_Score,SAE-AAE,-0.052123552123552123,0.46,-0.052123552123552123
Llama7B,AES_Score,ESL-AAE,-0.13320463320463322,0.023,-0.13320463320463322
Llama13B,AES_Score,SAE-ESL,0.03861003861003861,0.396,0.03861003861003861
Llama13B,AES_Score,SAE-AAE,0.2972972972972973,0.0,0.2972972972972973
Llama13B,AES_Score,ESL-AAE,0.25868725868725867,0.003,0.25868725868725867
Llama70B,AES_Score,SAE-ESL,-0.1138996138996139,0.025,-0.1138996138996139
Llama70B,AES_Score,SAE-AAE,0.14478764478764478,0.056,0.14478764478764478
Llama70B,AES_Score,ESL-AAE,0.25868725868725867,0.0,0.25868725868725867
Vicuna7B,AES_Score,SAE-ESL,0.1833976833976834,0.003,0.1833976833976834
Vicuna7B,AES_Score,SAE-AAE,0.24517374517374518,0.007,0.24517374517374518
Vicuna7B,AES_Score,ESL-AAE,0.06177606177606178,0.552,0.06177606177606178
Vicuna13B,AES_Score,SAE-ESL,0.21042471042471042,0.005,0.21042471042471042
Vicuna13B,AES_Score,SAE-AAE,0.2413127413127413,0.001,0.2413127413127413
Vicuna13B,AES_Score,ESL-AAE,0.03088803088803089,0.716,0.03088803088803089
